Category,Fst
2v2,0.47228
2v2,0.361767
2v2,0.2949943
2v2,0.3516398
2v2,0.6331607
2v2,0.2904634
2v2,0.2326739
2v2,0.3581381
2v2,0.6593142
1v2,0.5001444
2v2,0.6202179
1v2,0.7494688
1v2,0.7254446
2v2,0.5072259
1v2,0.637129
2v2,0.3686052
1v2,0.7254141
2v2,0.5162395
1v2,0.6104662
2v2,0.4371158
1v2,0.7067961
1v2,0.5790014
2v2,0.4036648
1v2,0.7990145
1v2,0.6248766
1v2,0.7420139
1v2,0.8269212
2v2,0.260629
2v2,0.3440674
2v2,0.4480288
2v2,0.6064164
2v2,0.3011241
2v2,0.3458054
2v2,0.3492993
2v2,0.6376618
1v2,0.5100265
2v2,0.6387405
1v2,0.7845528
1v2,0.743252
2v2,0.521329
1v2,0.6616726
2v2,0.3727088
1v2,0.7500984
2v2,0.5164186
1v2,0.6170456
2v2,0.4364127
1v2,0.7420889
1v2,0.5879096
2v2,0.3987344
1v2,0.8387089
1v2,0.6348952
1v2,0.7612973
1v2,0.859195
2v2,0.2791016
2v2,0.3451615
2v2,0.4437067
2v2,0.1656253
2v2,0.191497
2v2,0.2466154
2v2,0.4640316
1v2,0.4542983
2v2,0.5738373
1v2,0.6935347
1v2,0.6870944
2v2,0.4531693
1v2,0.5882587
2v2,0.3048757
1v2,0.6866529
2v2,0.4228798
1v2,0.5690735
2v2,0.3749599
1v2,0.6548532
1v2,0.5382336
2v2,0.3558265
1v2,0.7430625
1v2,0.5882496
1v2,0.7056542
1v2,0.7838805
2v2,0.1981235
2v2,0.3140579
2v2,0.1688825
2v2,0.1495955
2v2,0.2873078
2v2,0.3665026
1v2,0.2788672
2v2,0.4173941
1v2,0.4653744
1v2,0.5196712
2v2,0.2984004
1v2,0.3860122
2v2,0.1817929
1v2,0.508268
2v2,0.2932568
1v2,0.4037164
2v2,0.2503149
1v2,0.4412722
1v2,0.3755367
2v2,0.2650325
1v2,0.5264127
1v2,0.4342202
1v2,0.5380781
1v2,0.6031065
2v2,0.4733355
2v2,0.2517439
2v2,0.2422356
2v2,0.3400856
2v2,0.5076941
1v2,0.377182
2v2,0.5236086
1v2,0.6222263
1v2,0.6240512
2v2,0.388878
1v2,0.5098241
2v2,0.2548538
1v2,0.6283139
2v2,0.4008744
1v2,0.510203
2v2,0.3531887
1v2,0.5825218
1v2,0.4749553
2v2,0.3415052
1v2,0.6847671
1v2,0.5310133
1v2,0.6576003
1v2,0.7365548
2v2,0.316732
2v2,0.2829293
2v2,0.4279008
2v2,0.2238382
1v2,0.41423
2v2,0.5656192
1v2,0.7277991
1v2,0.7074327
2v2,0.4460761
1v2,0.5748814
2v2,0.2880007
1v2,0.7131502
2v2,0.445113
1v2,0.5441079
2v2,0.3657193
1v2,0.6704945
1v2,0.5135315
2v2,0.3445769
1v2,0.8111134
1v2,0.5592685
1v2,0.721255
1v2,0.8429207
2v2,0.1020144
2v2,0.2254682
2v2,0.362051
1v2,0.3065564
2v2,0.4616402
1v2,0.5182662
1v2,0.5667118
2v2,0.3377238
1v2,0.4228199
2v2,0.1992107
1v2,0.5540161
2v2,0.3211042
1v2,0.4413633
2v2,0.2753897
1v2,0.4821613
1v2,0.4007009
2v2,0.2831476
1v2,0.5844502
1v2,0.4581
1v2,0.5838041
1v2,0.6596767
2v2,0.1892285
2v2,0.3648407
1v2,0.3297499
2v2,0.4954468
1v2,0.6196717
1v2,0.6519889
2v2,0.3584309
1v2,0.4814416
2v2,0.1864144
1v2,0.6461129
2v2,0.3491899
1v2,0.481249
2v2,0.2648188
1v2,0.5764659
1v2,0.4460413
2v2,0.2732601
1v2,0.7278994
1v2,0.4976361
1v2,0.6653121
1v2,0.790174
2v2,0.467175
1v2,0.4510665
2v2,0.5646271
1v2,0.6607401
1v2,0.6728197
2v2,0.4552473
1v2,0.5665373
2v2,0.3107975
1v2,0.6677032
2v2,0.4172564
1v2,0.5518687
2v2,0.3724956
1v2,0.6257347
1v2,0.5282506
2v2,0.3631426
1v2,0.7101061
1v2,0.5721377
1v2,0.6864876
1v2,0.759837
1v2,0.4761038
2v2,0.6147637
1v2,0.7750793
1v2,0.7305635
2v2,0.4894969
1v2,0.6318653
2v2,0.3359067
1v2,0.7398175
2v2,0.4841905
1v2,0.5882091
2v2,0.4233679
1v2,0.7189993
1v2,0.5628457
2v2,0.3741803
1v2,0.8316166
1v2,0.6067105
1v2,0.7510384
1v2,0.8530642
1v2,0.4194057
1v1,0.2543233
1v1,0.3701646
1v2,0.3164002
1v1,0.1513033
1v2,0.2531224
1v1,0.3571345
1v2,0.4117679
1v1,0.2649245
1v2,0.3513487
1v1,0.2227688
1v1,0.1986699
1v2,0.2961998
1v1,0.3728055
1v1,0.2902508
1v1,0.3745395
1v1,0.4511193
1v2,0.6068816
1v2,0.6352029
2v2,0.2852095
1v2,0.5145467
2v2,0.2999245
1v2,0.6123445
2v2,0.5399116
1v2,0.4998118
2v2,0.4640184
1v2,0.5882414
1v2,0.4807001
2v2,0.412814
1v2,0.6595764
1v2,0.513975
1v2,0.6447555
1v2,0.7210501
1v1,0.5514862
1v2,0.5167244
1v1,0.2759337
1v2,0.4501999
1v1,0.5637299
1v2,0.6534981
1v1,0.4003006
1v2,0.5284167
1v1,0.413042
1v1,0.3155255
1v2,0.4250129
1v1,0.6742845
1v1,0.394896
1v1,0.5656774
1v1,0.6996818
1v2,0.56233
1v1,0.4070051
1v2,0.5115518
1v1,0.601765
1v2,0.655409
1v1,0.475386
1v2,0.5859051
1v1,0.5086154
1v1,0.4056535
1v2,0.4866607
1v1,0.6563448
1v1,0.4845108
1v1,0.588353
1v1,0.6645985
1v2,0.4167603
2v2,0.1535006
1v2,0.5382894
2v2,0.4189988
1v2,0.4202583
2v2,0.3534115
1v2,0.4936905
1v2,0.4023057
2v2,0.3271942
1v2,0.5642509
1v2,0.4593766
1v2,0.5817038
1v2,0.6435483
1v2,0.3558902
1v1,0.4394369
1v2,0.545042
1v1,0.3038671
1v2,0.4467487
1v1,0.2522415
1v1,0.2277047
1v2,0.3679072
1v1,0.4307969
1v1,0.300687
1v1,0.453487
1v1,0.4838332
1v2,0.4884637
2v2,0.2523577
1v2,0.3853796
2v2,0.2134757
1v2,0.4248677
1v2,0.3511826
2v2,0.2458111
1v2,0.510332
1v2,0.4110001
1v2,0.5314495
1v2,0.5924022
1v2,0.6449754
1v1,0.4484875
1v2,0.5646219
1v1,0.5175543
1v1,0.4128376
1v2,0.4536383
1v1,0.6578865
1v1,0.4985022
1v1,0.5817331
1v1,0.6966594
1v2,0.5389871
2v2,0.3278856
1v2,0.6113875
1v2,0.5034156
2v2,0.33587
1v2,0.7015014
1v2,0.5500535
1v2,0.6727546
1v2,0.750488
1v2,0.4592485
1v1,0.3717641
1v1,0.2905331
1v2,0.390381
1v1,0.4895076
1v1,0.3853296
1v1,0.4779881
1v1,0.5434063
1v2,0.4995949
1v2,0.4400879
2v2,0.3115569
1v2,0.584831
1v2,0.4893404
1v2,0.5991821
1v2,0.6592829
1v1,0.3040252
1v2,0.3962768
1v1,0.5985015
1v1,0.3756976
1v1,0.5209065
1v1,0.6207761
1v2,0.3685534
1v1,0.4431993
1v1,0.3139465
1v1,0.4394399
1v1,0.4817762
1v2,0.4640338
1v2,0.4109673
1v2,0.4847647
1v2,0.5350275
1v1,0.4938206
1v1,0.6661407
1v1,0.8058914
1v1,0.4944508
1v1,0.5444217
1v1,0.6976046
